Annotation 1 ,Annotation 2,Tweets
positive,positive,I hope everyone in the Great State of Virginia will get out and VOTE on Tuesday in all of the local and state elect… https://t.co/v1dWBN36jN
negative,negative,"The Fake News Media is working hard so that information about the Whistleblower’s identity, which may be very bad f… https://t.co/otzOKixxxp"
negative,negative,"The Democrats are Fixers, and they are working overtime to FIX the Impeachment “Process” in order to hurt the Repub… https://t.co/gJxkEUisn9"
negative,negative,Fake News! https://t.co/pL9gMFvZEn
negative,negative,The Angry Majority!
neutral,neutral,Many people listened to my phone call with the Ukrainian President while it was being made. I never heard any compl… https://t.co/R40aX4XUZJ
positive,positive,FEDERAL CONTRACTOR SPIES stories. The finest law enforcement on the planet could not have shown a ROADMAP l… https://t.co/SOXiJAcYfM
positive,positive,Thank you to @OANN for the absolutely incredible Special Report narrated by @PearsonSharp. Seldom do the American p… https://t.co/zAwQNGbd8p
negative,neutral,Morrison testifies he saw nothing wrong with the Trump call.” @OANN
positive,neutral,"Matt has been a GREAT Governor. Kentucky (I Love You!), please be sure to vote for Matt Bevin on TUESDAY. Matt… https://t.co/FgvsAVkPYY"
negative,negative,Walking into Madison Square Garden last night with @danawhite for the big @UFC Championship fight was a little bit… https://t.co/W4HTuFbJI4
positive,negative,Great fight Champ! https://t.co/URRR7vnSCj
positive,negative,RT @TimOBrien: UFC president Dana White has praised Trump for backing the UFC early on—including agreeing to host fights at his venues and…
negative,negative,"The Whistleblower got it sooo wrong that HE must come forward. The Fake News Media knows who he is but, being an ar… https://t.co/NLuyUNTaFd"
positive,negative,"putting these massive, and many, fires out. Great firefighters! Also, open up the ridiculously closed water lan… https://t.co/Ls3DUUNrTS"
negative,negative,"Every year, as the fire’s rage &amp; California burns, it is the same thing-and then he comes to the Federal Governme… https://t.co/aKLld8oOVX"
negative,negative,"The Governor of California, @GavinNewsom, has done a terrible job of forest management. I told him from the first d… https://t.co/vwoGJi6XiO"
positive,negative,RT @TaraLaRosa: #NEW: Pres. Trump arrives at Madison Square Garden to a positive reaction from the crowd ahead of #UFC244 . https://t.co/OI…
neutral,negative,"RT @EricTrump: At #UFC244 - chanting “Donald Trump, Donald Trump... USA USA” https://t.co/hiqKCw3cS9"
positive,positive,"@DonaldJTrumpJr: Despite the bullshit from blue checkmark Twitter, when we walked into the arena it was overwhelmingly positive. @danawh…"
positive,negative,"RT @realDonaldTrump: A great new book by Howie Carr, “What Really Happened, How Donald J. Trump Saved America From Hillary Clinton,” is on…"
positive,neutral,"RT @realDonaldTrump: Tate Reeves will be a great Governor of Mississippi, and what an electric Rally last night. Vote for Tate on Tuesday!…"
positive,positive,"RT @realDonaldTrump: Big Rally in Kentucky on Monday night for a man who has worked really hard &amp; done a GREAT job, Governor @MattBevin. Ke…"
positive,negative,RT @realDonaldTrump: Louisiana has a chance to have a really great Governor in @EddieRispone. Auto insurance costs and taxes will be coming…
negative,negative,RT @realDonaldTrump: The Whistleblower has disappeared. Where is the Whistleblower?
neutral,negative,"RT @VP: Under President @realDonaldTrump, we’ve cut taxes, rolled back red tape, unleashed American energy and forged free, fair and recipr…"
negative,negative,RT @realDonaldTrump: Schiff will change the transcripts just like he fraudulently made up the phone call. He is a corrupt politician! https…
positive,positive,RT @WhiteHouse: When you look at what Democrats in Congress have accomplished compared to President @realDonaldTrump in just the past 2 wee…
negative,negative,RT @WhiteHouse: There is serious work to get done on behalf of this country—and Congressional Democrats are blatantly ignoring it. https://…
negative,negative,"RT @WhiteHouse: While Democrats go on with their impeachment sham, President @realDonaldTrump will continue working for the American people…"
negative,negative,"RT @MarshaBlackburn: .@HouseDemocrats have been holding a closed-door investigation in @RepAdamSchiff’s basement.
 
After facing intense fl…"
negative,negative,RT @WhiteHouse: The left's impeachment sham sure hasn't slowed President @realDonaldTrump down this week.
negative,negative,A giant Scam! https://t.co/E2gcPaddD1
negative,negative,RT @1k_kilgore: Someone feeling a bit left out? https://t.co/VDsy93Blft
negative,negative,"RT @TrumpWarRoom: President Trump on the mission that killed ISIS leader Abu Bakr al-Baghdadi:

""American special operators executed a mast…"
negative,negative,"e RT @RyanAFournier: You can call Trump a bully, racist, xenophobe, liar, islamophobe, fascist, or even a Cheeto. 

None of it's true.

THE T…"
negative,negative,RT @RealDrGina: Nancy &amp; Adam: We will worry about your ridiculous fake impeachment bs when ONE of your full-time candidates can fill a stad…
neutral,negative,RT @ksorbs: Keep on rolling. https://t.co/5vOLzTaoRm
negative,negative,RT @danielledsouzag: The Democrats are pushing the Impeachment hoax because they know the President is going to get re-elected in 2020. So…
negative,negative,Schiff will change the transcripts just like he fraudulently made up the phone call. He is a corrupt politician! https://t.co/b12GFXv6tE
negative,negative,The Whistleblower has disappeared. Where is the Whistleblower?
positive,positive,"Big Rally in Kentucky on Monday night for a man who has worked really hard &amp; done a GREAT job, Governor @MattBevin.… https://t.co/1EArEmmPzL"
positive,neutral,Louisiana has a chance to have a really great Governor in @EddieRispone. Auto insurance costs and taxes will be com… https://t.co/8cSjCGWZ4I
positive,positive,"Tate Reeves will be a great Governor of Mississippi, and what an electric Rally last night. Vote for Tate on Tuesda… https://t.co/Uj8Bbeqfbr"
positive,negative,"A great new book by Howie Carr, “What Really Happened, How Donald J. Trump Saved America From Hillary Clinton,” is… https://t.co/6yWcQF0nfK"
positive,negative,RT @mike_pence: If you want to send a message to the Do Nothing Democrats that Kentucky and America support President @realDonaldTrump—VOTE…
negative,negative,"RT @TeamTrump: ""While we're Creating Jobs and Killing Terrorists, the Democrat Party has gone completely insane."" - President @realDonaldTr…"
negative,negative,RT @RepMarkMeadows: Speaker Pelosi said earlier this Congress that any impeachment effort would need to be done on a bipartisan basis.
negative,negative,"RT @LouDobbs: Debunking Radical Dems. @RepMarkMeadows on former WH official, Tim Morrison’s testimony vindicating @POTUS. #MAGA #AmericaFir…"
negative,negative,unity RT @GOPLeader: Strong show of unity among Republicans today. 💯% voted AGAINST impeachment sham. 💪🏼 https://t.co/vNJDq9ZfOi
neutral,negative,RT @realDonaldTrump: The Greatest Witch Hunt In American History!
negative,negative,RT @IvankaTrump: This week @POTUS’s Interagency Task Force to combat #humantrafficking met and announced investments totaling $75M in the P…
neutral,negative,The Whistleblower must come forward to explain why his account of the phone call with the Ukrainian President was s… https://t.co/bkhbyMLmfq
negative,negative,Impeach someone who hasn’t done anything wrong!
negative,negative,"Oh no, Beto just dropped out of race for President despite him saying he was “born for this.” I don’t think so!"
positive,negative,have never been more unified than they are right now! The Dems are a mess under the corrupt leadership… https://t.co/OVFjH5fopx
positive,positive,with a President and Federal Government that wants our wonerful City and State to flourish and thrive. I Love New York!
negative,positive,"our great police are being disrespected, even with water dumped on them, because a Mayor and Governor just don’… https://t.co/tUoGiJwjPj"
negative,positive,"in New York, and another reason they are leaving. Taxes and energy costs are way too high, Upstate is being all… https://t.co/OXj7n7qxDe"
positive,positive,"I love New York, but New York can never be great again under the current leadership of Governor Andrew Cuomo (the b… https://t.co/ZBaIW1R2GY"
positive,positive,Stock Market up BIG! Record highs for S&amp;P 500 and NASDAQ. Enjoy!
positive,positive,Our Republican candidate @EddieRispone is a successful conservative businessman who will stand with me to creat… https://t.co/fB8qKZ3iY5
positive,neutral,LOUISIANA! Extreme Democrat John Bel Edwards has sided with Nancy Pelosi and Chuck Schumer to support Sanctuary Cit… https://t.co/dZ4456g8tL
negative,negative,@FoxNews  @BillHemmer  The public is watching and seeing for themselves how unfair this process is. Corrupt pol… https://t.co/Od9QKjy3oe
negative,negative,"Adam Schiff has taken all of the power for himself. That is very unfair. There were dozens of people on this call,… https://t.co/rjiEL13qdt"
